movieId,title,genres,tmdbId,movie_idx
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862.0,0
2,Jumanji (1995),Adventure|Children|Fantasy,8844.0,1
3,Grumpier Old Men (1995),Comedy|Romance,15602.0,2
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357.0,3
5,Father of the Bride Part II (1995),Comedy,11862.0,4
6,Heat (1995),Action|Crime|Thriller,949.0,5
7,Sabrina (1995),Comedy|Romance,11860.0,6
8,Tom and Huck (1995),Adventure|Children,45325.0,7
9,Sudden Death (1995),Action,9091.0,8
10,GoldenEye (1995),Action|Adventure|Thriller,710.0,9
11,"American President, The (1995)",Comedy|Drama|Romance,9087.0,10
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110.0,11
13,Balto (1995),Adventure|Animation|Children,21032.0,12
14,Nixon (1995),Drama,10858.0,13
15,Cutthroat Island (1995),Action|Adventure|Romance,1408.0,14
16,Casino (1995),Crime|Drama,524.0,15
17,Sense and Sensibility (1995),Drama|Romance,4584.0,16
18,Four Rooms (1995),Comedy,5.0,17
19,Ace Ventura: When Nature Calls (1995),Comedy,9273.0,18
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517.0,19
21,Get Shorty (1995),Comedy|Crime|Thriller,8012.0,20
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710.0,21
23,Assassins (1995),Action|Crime|Thriller,9691.0,22
24,Powder (1995),Drama|Sci-Fi,12665.0,23
25,Leaving Las Vegas (1995),Drama|Romance,451.0,24
26,Othello (1995),Drama,16420.0,25
27,Now and Then (1995),Children|Drama,9263.0,26
28,Persuasion (1995),Drama|Romance,17015.0,27
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902.0,28
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557.0,29
31,Dangerous Minds (1995),Drama,9909.0,30
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63.0,31
33,Wings of Courage (1995),Adventure|Romance|IMAX,78802.0,32
34,Babe (1995),Children|Drama,9598.0,33
35,Carrington (1995),Drama|Romance,47018.0,34
36,Dead Man Walking (1995),Crime|Drama,687.0,35
37,Across the Sea of Time (1995),Documentary|IMAX,139405.0,36
38,It Takes Two (1995),Children|Comedy,33689.0,37
39,Clueless (1995),Comedy|Romance,9603.0,38
40,"Cry, the Beloved Country (1995)",Drama,34615.0,39
41,Richard III (1995),Drama|War,31174.0,40
42,Dead Presidents (1995),Action|Crime|Drama,11443.0,41
43,Restoration (1995),Drama,35196.0,42
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312.0,43
45,To Die For (1995),Comedy|Drama|Thriller,577.0,44
46,How to Make an American Quilt (1995),Drama|Romance,11861.0,45
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807.0,46
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530.0,47
49,When Night Is Falling (1995),Drama|Romance,8391.0,48
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629.0,49
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448.0,50
53,Lamerica (1994),Adventure|Drama,49133.0,51
54,"Big Green, The (1995)",Children|Comedy,26441.0,52
55,Georgia (1995),Drama,97406.0,53
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,124057.0,54
57,Home for the Holidays (1995),Drama,9089.0,55
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010.0,56
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,99040.0,57
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359.0,58
61,Eye for an Eye (1996),Drama|Thriller,17182.0,59
62,Mr. Holland's Opus (1995),Drama,2054.0,60
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607.0,61
64,Two if by Sea (1996),Comedy|Romance,19760.0,62
65,Bio-Dome (1996),Comedy,9536.0,63
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525.0,64
67,Two Bits (1995),Drama,40628.0,65
68,French Twist (Gazon maudit) (1995),Comedy|Romance,4482.0,66
69,Friday (1995),Comedy,10634.0,67
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755.0,68
71,Fair Game (1995),Action,11859.0,69
72,Kicking and Screaming (1995),Comedy|Drama,28387.0,70
73,"Misérables, Les (1995)",Drama|War,48750.0,71
74,Bed of Roses (1996),Drama|Romance,20927.0,72
75,Big Bully (1996),Comedy|Drama,36929.0,73
76,Screamers (1995),Action|Sci-Fi|Thriller,9102.0,74
77,Nico Icon (1995),Documentary,124626.0,75
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,27526.0,76
79,"Juror, The (1996)",Drama|Thriller,9623.0,77
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785.0,78
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,400.0,79
82,Antonia's Line (Antonia) (1995),Comedy|Drama,880.0,80
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,146599.0,81
84,Last Summer in the Hamptons (1995),Comedy|Drama,188588.0,82
85,Angels and Insects (1995),Drama|Romance,8447.0,83
86,White Squall (1996),Action|Adventure|Drama,10534.0,84
87,Dunston Checks In (1996),Children|Comedy,17414.0,85
88,Black Sheep (1996),Comedy,13997.0,86
89,Nick of Time (1995),Action|Thriller,2086.0,87
90,The Journey of August King (1995),Drama,61548.0,88
92,Mary Reilly (1996),Drama|Horror|Thriller,9095.0,89
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,12158.0,90
94,Beautiful Girls (1996),Comedy|Drama|Romance,9283.0,91
95,Broken Arrow (1996),Action|Adventure|Thriller,9208.0,92
96,In the Bleak Midwinter (1995),Comedy|Drama,40154.0,93
97,"Hate (Haine, La) (1995)",Crime|Drama,406.0,94
98,Shopping (1994),Action|Thriller,45549.0,95
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,63076.0,96
100,City Hall (1996),Drama|Thriller,11062.0,97
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,13685.0,98
102,Mr. Wrong (1996),Comedy,47475.0,99
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,2045.0,100
104,Happy Gilmore (1996),Comedy,9614.0,101
105,"Bridges of Madison County, The (1995)",Drama|Romance,688.0,102
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,11907.0,103
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,10874.0,104
108,Catwalk (1996),Documentary,89333.0,105
110,Braveheart (1995),Action|Drama|War,197.0,106
111,Taxi Driver (1976),Crime|Drama|Thriller,103.0,107
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,33542.0,108
113,Before and After (1996),Drama|Mystery,43566.0,109
114,Margaret's Museum (1995),Drama,71754.0,110
116,Anne Frank Remembered (1995),Documentary,51352.0,111
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,16934.0,112
118,If Lucy Fell (1996),Comedy|Romance,10324.0,113
119,"Steal Big, Steal Little (1995)",Comedy,78406.0,114
120,Race the Sun (1996),Adventure|Comedy|Drama,55731.0,115
121,"Boys of St. Vincent, The (1992)",Drama,32119.0,116
122,Boomerang (1992),Comedy|Romance,11066.0,117
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,11104.0,118
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,37975.0,119
125,Flirting With Disaster (1996),Comedy,2074.0,120
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,27793.0,121
128,Jupiter's Wife (1994),Documentary,290157.0,122
129,Pie in the Sky (1996),Comedy|Romance,110972.0,123
131,Frankie Starlight (1995),Drama|Romance,73067.0,124
132,Jade (1995),Thriller,11863.0,125
135,Down Periscope (1996),Comedy,9101.0,126
136,From the Journals of Jean Seberg (1995),Documentary,123360.0,127
137,Man of the Year (1995),Documentary,5757.0,128
138,"Neon Bible, The (1995)",Drama,39428.0,129
140,Up Close and Personal (1996),Drama|Romance,9302.0,130
141,"Birdcage, The (1996)",Comedy,11000.0,131
144,"Brothers McMullen, The (1995)",Comedy,16388.0,132
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,9737.0,133
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,30765.0,134
147,"Basketball Diaries, The (1995)",Drama,10474.0,135
148,"Awfully Big Adventure, An (1995)",Drama,22279.0,136
149,Amateur (1994),Crime|Drama|Thriller,30157.0,137
150,Apollo 13 (1995),Adventure|Drama|IMAX,568.0,138
151,Rob Roy (1995),Action|Drama|Romance|War,11780.0,139
152,"Addiction, The (1995)",Drama|Horror,34996.0,140
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,414.0,141
154,Beauty of the Day (Belle de jour) (1967),Drama,649.0,142
155,Beyond Rangoon (1995),Adventure|Drama|War,1873.0,143
156,Blue in the Face (1995),Comedy|Drama,5894.0,144
157,Canadian Bacon (1995),Comedy|War,1775.0,145
158,Casper (1995),Adventure|Children,8839.0,146
159,Clockers (1995),Crime|Drama|Mystery,20649.0,147
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,10329.0,148
161,Crimson Tide (1995),Drama|Thriller|War,8963.0,149
162,Crumb (1994),Documentary,26564.0,150
163,Desperado (1995),Action|Romance|Western,8068.0,151
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,8512.0,152
